Export_country,Import_country,Year,Quarter,Month,Nominal Value (SUM),Tons (SUM),Price,Period
Thailand,Netherlands,2019,4,21,189175.15234375,89.21999931335449,4094.161987759821,28
Thailand,Netherlands,2020,3,7,287826.09375,184.820007324219,1557.3319031693543,31
Thailand,Netherlands,2020,4,10,111020.4921875,69.5250015258789,1596.8427148638818,32
Thailand,Netherlands,2021,4,11,44.5223999023438,0.0430000014603138,1035.4046137285618,36
Thailand,Netherlands,2023,2,6,50530.66015625,25.2849998474121,1998.444155079628,42
Thailand,Netherlands,2023,3,17,106590.58984375,62.3780002593994,3459.0150469613527,43
Thailand,Russia,2013,1,3,116012.921875,63.37,1830.723084661512,1
Thailand,Russia,2013,2,11,162960.4609375,83.506,3897.744771550927,2
Thailand,Russia,2013,3,9,108271.46875,64.076,1689.735138741495,3
Thailand,Russia,2013,4,22,61440.37890625,31.791,3847.1838245937115,4
Thailand,Russia,2015,2,5,637.97998046875,0.32,1993.687438964844,10
Thailand,Russia,2016,2,6,207.0,0.153,1352.9411764705883,14
Thailand,Russia,2018,3,8,34907.5,21.025,1660.2853745541024,23
Thailand,Russia,2018,4,12,36023.0,21.0,1715.3809523809523,24
Thailand,Russia,2019,1,4,71860.0,42.0,3421.904761904762,25
Thailand,Russia,2019,2,4,1928.31994628906,1.0,1928.31994628906,26
Thailand,Russia,2019,3,15,69182.0,42.1,3286.5538253215977,27
Thailand,Russia,2019,4,11,32435.0,21.1,1537.203791469194,28
Thailand,Russia,2020,1,5,59487.5,39.1,3039.9368088467613,29
Thailand,Russia,2021,3,9,53905.46875,24.0,2246.0611979166665,35
Thailand,Slovakia,2019,3,9,1681.37976074219,0.779999971389771,2155.615156942094,27
Thailand,Slovakia,2020,1,2,2254.21264648438,1.12000000476837,2012.6898543635089,29
Thailand,Slovakia,2021,2,5,1446.58862304688,0.975000023841858,1483.6806027417208,34
Thailand,Slovakia,2021,3,9,2607.1240234375,1.18499994277954,2200.1047673658286,35
Thailand,Slovakia,2022,1,1,4505.2978515625,1.97500002384186,2281.163441607757,37
Thailand,South Africa,2013,1,2,74087.45703125,40.0,1852.18642578125,1
Thailand,South Africa,2013,2,9,140839.392578125,115.781,2356.25335078854,2
Thailand,South Africa,2013,3,15,66169.794921875,74.82,1754.2007511893557,3
Thailand,South Africa,2013,4,23,99744.55859375,88.906,2735.3531783703747,4
Thailand,South Africa,2014,1,5,83175.74617099762,74.00627944558838,2637.3749216450638,5
Thailand,South Africa,2014,2,10,125074.8984375,118.303,1932.5023246494438,6
Thailand,South Africa,2014,3,24,191995.986328125,178.84,3008.8848397535958,7
Thailand,South Africa,2014,4,23,56013.009765625,30.0,3735.3462890625,8
Thailand,South Africa,2015,1,3,97682.7373046875,68.0,3128.42509765625,9
Thailand,South Africa,2015,2,9,112502.328125,60.0,3763.81015625,10
Thailand,South Africa,2015,3,24,73294.24690055844,40.06058461773602,5015.36668490183,11
Thailand,South Africa,2015,4,12,36828.74609375,22.636,1626.9988555288037,12
Thailand,South Africa,2016,1,3,308660.80859375,199.748,1545.2510593034724,13
Thailand,South Africa,2016,2,10,227784.01171875,132.4573220609206,3464.700102605395,14
Thailand,South Africa,2016,3,8,68567.171875,40.0,1714.179296875,15
Thailand,South Africa,2016,4,22,67464.6953125,40.0,3373.234765625,16
Thailand,South Africa,2017,1,5,68428.1171875,40.0,3421.405859375,17
Thailand,South Africa,2017,2,15,136352.8837890626,80.0,5102.090319824222,18
Thailand,South Africa,2017,3,16,92969.046875,86.0,2594.0328835227274,19
Thailand,South Africa,2017,4,22,101602.1235351563,60.0,3380.3444946289073,20
Thailand,South Africa,2018,1,3,34401.8537049294,20.0031707934713,1719.8200255410304,21
Thailand,South Africa,2018,2,11,99720.8491210938,60.0,3317.4125366210947,22
Thailand,South Africa,2018,3,24,101240.198135376,88.0268412416611,4087.1553987027364,23
Thailand,South Africa,2018,4,12,34484.8671875,20.0,1724.243359375,24
Thailand,South Africa,2019,1,2,36940.419921875,20.0,1847.02099609375,25
Thailand,South Africa,2019,2,6,72390.28125,40.0,1809.75703125,26
Thailand,South Africa,2019,3,9,60699.3828125,34.0,1785.2759650735295,27
Thailand,South Africa,2020,1,4,102129.05078125,60.0,3467.2384765625,29
Thailand,South Africa,2020,2,11,28902.9873046875,48.6,1189.4233458719136,30
Thailand,South Africa,2020,3,24,104426.1866092682,60.000163443504604,5221.295563129746,31
Thailand,South Africa,2020,4,22,92977.4423828125,64.858,3277.110971088139,32
Thailand,South Africa,2021,1,6,103780.8671875,74.3,4864.691534547827,33
Thailand,South Africa,2021,2,9,109346.72265625,60.0,3565.1044921875,34
Thailand,South Africa,2021,3,24,197612.095703125,100.0,5963.86337890625,35
Thailand,South Africa,2021,4,23,87377.9829711914,46.897999999999996,3736.2971488535677,36
Thailand,South Africa,2022,1,4,111566.6447753906,105.41,2252.1518520860172,37
Thailand,South Africa,2022,2,10,152629.640625,89.288,3778.728539483749,38
Thailand,South Africa,2022,3,7,43382.08203125,20.0,2169.1041015625,39
Thailand,South Africa,2023,1,2,19268.1796875,24.0,802.8408203125,41
Thailand,South Africa,2023,2,6,58187.9130859375,25.0,2327.5165234375,42
Thailand,South Africa,2023,3,8,186304.890625,96.0,1940.6759440104167,43
Thailand,South Korea,2013,1,3,43019.0,44.7973871122285,1939.0116617192562,1
Thailand,South Korea,2013,2,15,192197.0,196.030772955416,3070.6158932235144,2
Thailand,South Korea,2013,3,16,321390.0,381.7787097432726,2412.822146908065,3
Thailand,South Korea,2013,4,33,113121.0,112.42410387811634,3234.7802617674397,4
Thailand,South Korea,2014,1,6,453510.0,638.6334017392251,2130.250619927929,5
Thailand,South Korea,2014,2,11,74085.0,35.5393405034295,3233.7540729852553,6
Thailand,South Korea,2014,3,7,25357.0,15.4033348261207,1646.2019612142724,7
Thailand,South Korea,2014,4,22,565703.0,717.57,1488.7517435196812,8
Thailand,South Korea,2015,1,2,38301.0,63.0,607.952380952381,9
Thailand,South Korea,2015,2,15,108684.0,184.4257319241216,3251.5304327026934,10
Thailand,South Korea,2015,3,16,2728.0,3.0864670285413545,2624.19896066602,11
Thailand,South Korea,2015,4,10,93324.0,91.139,1023.9743688212512,12
Thailand,South Korea,2016,2,15,558818.0,685.1184483333429,2544.5576909397264,14
Thailand,South Korea,2016,3,24,763289.0,1125.8950748502011,2057.9167291814188,15
Thailand,South Korea,2016,4,33,726029.0,780.496581849213,2857.8137795357134,16
Thailand,South Korea,2017,1,6,1521918.0,1331.111972499281,3411.0766447354054,17
Thailand,South Korea,2017,2,15,745900.0,496.123448671971,4456.787392261658,18
Thailand,South Korea,2017,3,24,1387722.0,1028.002221094132,4093.0011282472587,19
Thailand,South Korea,2017,4,33,2183335.0,1343.488321512309,4858.124961878367,20
Thailand,South Korea,2018,1,6,2357086.0,1431.01651359379,4975.236395526332,21
Thailand,South Korea,2018,2,15,2578589.0,1506.739031523329,5159.536518997423,22
Thailand,South Korea,2018,3,24,2803662.0,1681.622139538204,4985.712538025032,23
Thailand,South Korea,2018,4,33,1476934.0,953.764312716504,4592.128623874323,24
Thailand,South Korea,2019,1,6,2276137.0,1452.3451051436969,4670.285131515893,25
Thailand,South Korea,2019,2,15,1942449.0,1310.845700724315,4589.6676524663935,26
Thailand,South Korea,2019,3,24,742913.0,684.7032437912501,3220.115411585951,27
Thailand,South Korea,2019,4,33,907656.0,692.462439029635,3857.4188327229076,28
Thailand,South Korea,2020,1,6,1155260.0,850.1668870721719,4198.127087019755,29
Thailand,South Korea,2020,2,15,793282.0,621.117669824124,3679.717457268902,30
Thailand,South Korea,2020,3,24,783930.0,573.6180379615877,4255.882454838804,31
Thailand,South Korea,2020,4,33,1279980.0,1082.9613158393581,3584.0622507064477,32
Thailand,South Korea,2021,1,6,922055.0,561.8120542177151,4869.709359414872,33
Thailand,South Korea,2021,2,15,782745.0,458.95056447347497,5094.920688606125,34
Thailand,South Korea,2021,3,24,1268007.0,863.5028366094671,4486.189905283121,35
Thailand,South Korea,2021,4,22,941730.0,695.155610167762,2918.3907644529972,36
Thailand,South Korea,2022,1,6,1151383.0,630.9872750061161,5525.749791666074,37
Thailand,South Korea,2022,2,9,875803.0,487.79133542942,3648.701130301734,38
Thailand,South Korea,2022,4,33,1310487.0,982.384767666716,4647.556800858878,40
Thailand,South Korea,2023,1,6,1431714.0,1231.460109645167,3474.2711999159246,41
Thailand,South Korea,2023,2,15,2138328.0,1763.1317477459602,3625.5286606444674,42
Thailand,South Korea,2023,3,24,4154662.0,3333.271,3712.638471956252,43
Thailand,South Korea,2023,4,10,655076.0,659.067784999967,993.9432861219772,44
Thailand,Spain,2013,1,6,161574.01953125,80.0,6029.379492187501,1
Thailand,Spain,2013,2,9,118161.8984375,60.0,3936.9826171875,2
Thailand,Spain,2013,3,17,80744.67578125,40.0,4037.2337890625004,3
