Export_country,Import_country,Distance,Distance capital,Distance weighted with popuation,Distance weighted with population_1
Malaysia,Spain,11084.66,11084.66,11174.05,11149.57
Malaysia,France,10436.4,10436.4,10553.12,10537.39
Malaysia,United Kingdom,10559.89,10559.89,10714.89,10704.7
Malaysia,Indonesia,1174.196,1174.196,1306.636,1053.754
Malaysia,India,3842.43,3842.43,3610.29,3502.011
Malaysia,Iran,6300.096,6300.096,6415.507,6368.188
Malaysia,Italy,9717.922,9717.922,9907.099,9887.72
Malaysia,Japan,5329.095,5329.095,4967.821,4913.137
Malaysia,South Korea,4614.067,4614.067,4418.149,4395.557
Malaysia,Mexico,16641.12,16641.12,16024.15,15982.06
Malaysia,Malaysia,215.9889,215.9889,556.2358,65.40842
Malaysia,Netherlands,10201.5,10201.5,10298.82,10287.85
Malaysia,Russia,8130.454,8130.454,7647.654,7520.277
Malaysia,Slovakia,9351.424,9351.424,9348.404,9332.911
Malaysia,Sweden,9354.846,9354.846,9568.984,9557.659
Malaysia,Taiwan,3237.547,3237.547,2968.969,2923.841
Malaysia,Ukraine,8424.244,8424.244,8323.441,8298.929
Malaysia,United States,15130.12,15357.34,14859.51,14818.76
Malaysia,Vietnam,2040.94,2040.94,1361.233,1217.886
Malaysia,South Africa,9588.708,8523.575,8994.414,8949.459
Netherlands,Austria,934.7828,934.7828,864.5513,853.012
Netherlands,Belgium,173.0333,173.0333,160.9283,141.4463
Netherlands,Brazil,9810.82,9121.226,9200.433,9111.224
Netherlands,Canada,5988.239,5638.61,6237.395,6142.717
Netherlands,China (mainland),7831.141,7831.141,8242.414,8217.513
Netherlands,Germany,173.5239,577.8569,379.1754,281.7572
Netherlands,Spain,1481.366,1481.366,1500.836,1446.738
Netherlands,France,427.9169,427.9169,660.9895,556.2308
Netherlands,United Kingdom,360.315,360.315,467.948,436.0208
Netherlands,Indonesia,11361.64,11361.64,11346.36,11320.98
Netherlands,India,6363.421,6363.421,6890.324,6858.228
Netherlands,Iran,4071.167,4071.167,4141.796,4113.519
Netherlands,Italy,1297.695,1297.695,1174.921,1092.614
Netherlands,Japan,9303.377,9303.377,9228.859,9225.791
Netherlands,South Korea,8573.183,8573.183,8679.86,8677.605
Netherlands,Mexico,9229.362,9229.362,9153.143,9146.999
Netherlands,Malaysia,10201.5,10201.5,10298.82,10287.85
Netherlands,Netherlands,76.95715,76.95715,79.86247,51.36435
Netherlands,Russia,2155.229,2155.229,2899.719,2573.45
Netherlands,Slovakia,987.487,987.487,1059.149,1049.467
Netherlands,Sweden,1128.93,1128.93,1009.396,952.2878
Netherlands,Taiwan,9457.249,9457.249,9505.849,9505.139
Netherlands,Ukraine,1781.716,1781.716,2011.598,1966.749
Netherlands,United States,5866.046,6196.851,7281.814,7081.953
Netherlands,Vietnam,8892.063,8892.063,9549.609,9530.631
Netherlands,South Africa,9693.594,8981.913,9279.857,9269.749
